"Card","Act","Dice","Ascension","Other unlocks","Summons","Tradução pt-br"
"Slime Boss","1","5,6","","","","Chefe Gosma"
"The Guardian","1","1,2","","","","O Guardião"
"Hexaghost","1","3,4","","","","Hexafantasma"
"Slime Boss","1","5,6","10","","","Chefe Gosma"
"Hexaghost","1","3,4","10","","","Hexafantasma"
"The Guardian","1","1,2","10","","","O Guardião"
"The Collector","2","1,2","","","","O Colecionador"
"The Champ","2","5,6","","","","O Campeão"
"Bronze Automaton","2","3,4","","","","Autômato de Bronze"
"The Collector","2","1,2","10","","","O Colecionador"
"The Champ","2","5,6","10","","","O Campeão"
"Bronze Automaton","2","3,4","10","","","Autômato de Bronze"
"Awakened One","3","3,4","","","Cultists","O Despertado"
"Awakened One: Phase 2","3","","","","Cultists","O Despertado: Fase 2"
"Time Eater","3","5,6","","","","Devorador de Tempo"
"Donu","3","1,2","","","Deca","Donu"
"Deca","3","","","","","Deca"
"Awakened One","3","3,4","10","","Cultists","O Despertado"
"Awakened One: Phase 2","3","","10","","Cultists","O Despertado: Fase 2"
"Time Eater","3","5,6","10","","","Devorador de Tempo"
"Donu","3","1,2","10","","Deca","Donu"
"Deca","3","","10","","","Deca"
"Corrupt Heart","4","","","Act IV + 3 Keys","","Coração Corrupto"
"Corrupt Heart","4","","11","Act IV + 3 Keys","","Coração Corrupto"
"Spire Shield","4","","11","Act IV + 3 Keys","","Escudo do Pináculo"
"Spire Spear","4","","11","Act IV + 3 Keys","","Lança do Pináculo"
