"Card","Type","Act","Qty","Summons","Gold Reward","Card Reward","Potion Reward","Relic Reward","Ascension","Unlocks","pt-BR"
"Living Wall","Event","I","1","","","","","","","","Parede Viva"
"Ancient Temple","Event","I","1","","","","","","","","Templo Antigo"
"Bonfire Spirits","Event","I","1","","","","","","","","Espiritos da Fogueira"
"The Library","Event","I","1","","","","","","","","A Biblioteca"
"Big Fish","Event","I","1","","","","","","","","Peixe Grande"
"Wheel of Change","Event","I","1","","","","","","","","Roda da Mudança"
"Transmogriphier","Event","I","1","","","","","","","","Transmogrificador"
"The Cleric","Event","I","1","","","","","","","","O Clérigo"
"Lab","Event","I","1","","","","","","","","Laboratório"
"Upgrade Shrine","Event","I","1","","","","","","","","Santuário da Majoração"
"Wing Statue","Event","I","1","","","","","","","","Estátua Alada"
"Ominous Forge","Event","I","1","","","","","","","","Forja Sinitra"
"Encouter","Event","I","2","","","","","","3","","Encontro!"
"Merchant","Event","I","1","","","","","","3","","O Vendedor"
"Dead Adventurer","Event","I","1","","","","","","3","","Aventureiro Morto"
"Scrap Ooze","Event","I","1","","","","","","3","","Gosma de Sucata"
"World of Goop","Event","I","1","","","","","","3","","Mundo de Gosma"
"Cultist","First Monster","I","1","","1","1 common","","","","","Cultista"
"Jaw Worm","First Monster","I","1","","1","1 common","1","","","","Vorme Mandíbula"
"Red Louse","First Monster","I","1","Green Louse","1","","","","","","Piolho Vermelho"
"Small Slime","First Monster","I","1","Acid Slime","","1 common","1","","","","Gosma Pequena"
"Cultist","Monster","I","1","Green Louse","1","1 common","","","","","Cultista"
"Cultist","Monster","I","1","Spike Slime","1","1 common","1","","","","Cultista"
"Looter","Monster","I","1","","","1 common","1","","","","Saqueador"
"Blue Slaver","Monster","I","1","","2","1 common","","","","","Escravista Azul"
"Red Slaver","Monster","I","1","","1","1 common","","","","","Escravista Vermelho"
"Small Slime","Monster","I","1","Acid Slime, Spike Slime","1","1 common","","","","","Gosma Pequena"
"Large Slime","Monster","I","1","Acid Slime (action)","1","1 common","1","","","","Gosma Grande"
"Jaw Worm","Monster","I","1","","1","1 common","","","","","Vorme Mandíbula"
"Mad Gremlin","Monster","I","1","3 random gremlins (solo: 2)","2","1 common","","","","","Gremlin Louco"
"Sneaky Gremlin","Monster","I","1","3 random gremlins (solo: 2)","1","1 common","1","","","","Gremlin Furtivo"
"Fungi Beast","Monster","I","1","Fungi Beast","1","1 common","1","","","","Besta Fungo"
"Red Louse","Monster","I","1","Green Louse, Red Louse","1","1 common","","","","","Piolho Vermelho"
"Large Slime","Monster","I","1","","1","1 common","1","","7","","Gosma Grande"
"Jaw Worm","Monster","I","1","Gosma Espinho","1","1 common","","","7","","Vorme Mandíbula"
"Looter","Monster","I","1","Gosma Ácida","","1 common","1","","7","","Saqueador"
"Fungi Beast","Summon","I","1","-","","","","","","","Besta Fungo"
"Red Louse","Summon","I","1","-","","","","","","","Piolho Vermelho"
"Green Louse","Summon","I","2","-","","","","","","","Piolho Verde"
"Spike Slime","Summon","I","4","-","","","","","","","Gosma Espinho"
"Acid Slime","Summon","I","4","-","","","","","","","Gosma Ácida"
"Large Slime","Summon","I","4","-","","","","","","","Gosma Grande"
"Sentry A","Summon","I","6","-","","","","","","","Sentinela A"
"Sentry B","Summon","I","5","-","","","","","","","Sentinela B"
"Gremlin Wizard","Gremlin","I","2","-","","","","","","","Gremlin Mago"
"Mad Gremlin","Gremlin","I","2","-","","","","","","","Gremlin Louco"
"Sneaky Gremlin","Gremlin","I","2","-","","","","","","","Gremlin Furtivo"
"Fat Gremlin","Gremlin","I","2","-","","","","","","","Gremlin Gordo"
"Gremlin Nob","Elite","I","1","","2","1 common","","1","","","Gremlin Nobre"
"Lagavulin","Elite","I","1","","2","1 common","","1","","","Lagavulin"
"Sentries","Elite","I","1","Sentry A, Sentry B","2","1 common","","1","","","Sentinelas"
"Gremlin Nob","Elite","I","1","","2","1 common","","1","1","","Gremlin Nobre"
"Lagavulin","Elite","I","1","","2","1 common","","1","1","","Lagavulin"
"Sentries","Elite","I","1","Sentry A, Sentry B","2","1 common","","1","1","","Sentinelas"
"Gremlin Nob","Elite","I","1","","2","1 common","","1","12","","Gremlin Nobre"
"Lagavulin","Elite","I","1","","2","1 common","","1","12","","Lagavulin"
"Sentries","Elite","I","1","","2","1 common","","1","12","","Sentinelas"
"Knowing Skull","Event","II","1","","","","","","","","Crânio do Conhecimento"
"We Meet Again!","Event","II","1","","","","","","","","Nos encontramos de novo!"
"Wheel of Change","Event","II","1","","","","","","","","Roda da Mudança"
"Designer In-Spire","Event","II","1","","","","","","","","Designer no Pináculo"
"Cursed Tome","Event","II","1","","","","","","","","Tomo Amaldiçoado"
"Colosseum","Event","II","1","","","","","","","","O Coliseu"
"Ancient Writing","Event","II","1","","","","","","","","Inscrição Ancestral"
"A Note For Yourself","Event","II","1","","","","","","","","Um Recado para Você"
"The Joust","Event","II","1","","","","","","","","A Justa (esse é o nome do combate mesmo)"
"The Woman In Blue","Event","II","1","","","","","","","","A Mulher de Azul"
"N'loth","Event","II","1","","","","","","","","N'loth"
"Augmenter","Event","II","1","","","","","","","","Aprimorador"
"Golden Shrine","Event","II","1","","","","","","","","Santuário Dourado"
"Old Beggar","Event","II","1","","","","","","","","Velho Pedinte"
"Encounter","Event","II","2","","","","","","3","","Encontro!"
"Merchant","Event","II","1","","","","","","3","","O Vendedor"
"The Mausoleum","Event","II","1","","","","","","3","","O Mausoléu"
"Forgotten Altar","Event","II","1","","","","","","3","","Altar Esquecido"
