"Qty","Name","Type","Nome pt-br","Minha tradução","My Translation"
"1","Akabeko","Relic","Akabeko","",""
"1","Anchor","Relic","Âncora","",""
"1","Bag of Preparation","Relic","Mochila de Preparo","",""
"1","Bird-Faced Urn","Relic","Urna com Cara de Pássaro","",""
"1","Blood Vial","Relic","Frasco de Sangue","",""
"1","Blue Candle","Relic","Velza Azul","",""
"1","Calipers","Relic","Paquímetro","",""
"1","Captain's Wheel","Relic","Leme do Capitão","",""
"1","Centennial Puzzle","Relic","Enigma do Centênio","",""
"1","Charon's Ashes","Relic","Cinzas de Caronte","",""
"1","Dead Branch","Relic","Galho Seco","",""
"1","Dolly's Mirror","Relic","Espelho da Zorra","Espelho de Dolly
(primeira ovelha clonada)","I have no idea whatsoever where they got this ""Zorra"" thing.
They did not get the Dolly Sheep reference."
"1","Duality","Relic","Dualidade","",""
"1","Du-Vu Doll","Relic","Boneco Du-Vu","",""
"1","Gambling Chip","Relic","Ficha de Apostas","",""
"1","Golden Eye","Relic","Olho Dourado","",""
"1","Golden Idol","Relic","Ídolo Dourado","",""
"1","Gremlin Horn","Relic","Chifre de Gremlin","",""
"1","Happy Flower","Relic","Flor Alegre","",""
"1","Horn Cleat","Relic","Gampo de Chifre","",""
"1","Ice Cream","Relic","Sorvete","",""
"1","Incense Burner","Relic","Queimador de Incenso","",""
"1","Ink Bottle","Relic","Frasco de Tinta","",""
"1","Lantern","Relic","Lanterna","",""
"1","Meat on the Bone","Relic","Carne no Osso","",""
"1","Mercury Hourglass","Relic","Ampulheta de Mercúrio","",""
"1","Molten Egg","Relic","Ovo Derretido","",""
"1","Mummified Hand","Relic","Mão Mumificada","",""
"1","Mutagen","Relic","Força Mutuagênica","",""
"1","Necronomicon","Relic","Necronomicon","",""
"1","Nilry's Codex","Relic","Códice de Nilry","",""
"1","Ninja Scroll","Relic","Pergaminho Ninja","",""
"1","Oddly Smooth Stone","Relic","Pedra Curiosamente Lisa","",""
"1","Old Coin","Relic","Moeda Velha","",""
"1","Omamori","Relic","Omamori","",""
"1","Orichalcum","Relic","Oriicalco","",""
"1","Peace Pipe","Relic","Cachimbo da Paz","",""
"1","Pen Nib","Relic","Ponta de Caneta","",""
"1","Pocketwatch","Relic","Relógio de Bolso","",""
"1","Red Mask","Relic","Máscara Vermelha","",""
"1","Red Skull","Relic","Crânio Vermelho","",""
"1","Regal Pillow","Relic","Travesseiro Real","",""
"1","Runic Pyramid","Relic","Pirâmide Rúnica","",""
"1","Self-Forming Clay","Relic","Argila Automoldante","",""
"1","Ssserpent Head","Relic","Cabeça de Ssserpente","",""
"1","Stone Calendar","Relic","Calendário de Pedra","",""
"1","Strike Dummy","Relic","Boneco de Treinamento","",""
"1","Sundial","Relic","Relógio de Sol","",""
"1","The Abacus","Relic","O Ábaco","",""
"1","The Boot","Relic","A Bota","",""
"1","The Courier","Relic","O Entregador","",""
"1","Toolbox","Relic","Caixa de Ferramentas","",""
"1","Toxic Egg","Relic","Ovo Tóxico","",""
"1","Tungsten Rod","Relic","Bastão de Tungstênio","",""
"1","Vajra","Relic","Vajra","",""
"1","War Paint","Relic","Pintura de Guerra","",""
"1","Whetstone","Relic","Pedra de Amolar","",""
"1","Wing Boots","Relic","Bota Alada","",""
"1","Astrolabe","Boss Relic","Astrolábio","",""
"1","Black Blood","Boss Relic","Sangue Nego","",""
"1","Calling Bell","Boss Relic","Sino de Invocação","",""
"1","Coffee Dripper","Boss Relic","Xícara de Café","",""
"1","Cursed Key","Boss Relic","Chave Amaldiçoada","",""
"1","Ectoplasm","Boss Relic","Ectoplasma","",""
"1","Empty Cage","Boss Relic","gaiola vazia","",""
"1","Enchiridion","Boss Relic","Enquirídio","",""
"1","Frozen Core","Boss Relic","Orbe Congelada","Núcleo Congelado","I have no idea idea why they've mistaken ""Core"" for ""Orb"".
""Core"" is unmistakenbly ""Núcleo""."
"1","Fusion Hammer","Boss Relic","Martelo de Fusão","",""
"1","Holy Water","Boss Relic","Água Sagrada","Água Benta...","""Água Benta"" sounds WAY more natural and is the way we would talk about Holy Water in our daily lives."
"1","Mark of Pain","Boss Relic","Marca da Dor","",""
"1","Orrery","Boss Relic","Planetário","",""
"1","Pandora's Box","Boss Relic","Caixa de Pandora","",""
"1","Ring of the Serpent","Boss Relic","Anel da Serpente","",""
"1","Snecko Eye","Boss Relic","Olho de Cortixa","",""
"1","Sozu","Boss Relic","Sozu","",""
"1","Tiny House","Boss Relic","Casa Pequena","Ok, mas prefiro ""Casinha""",""
"1","White Beast Statue","Boss Relic","Estátua da Besta Branca","",""
"1","Wrist Blade","Boss Relic","Lâmina de Pulso","",""
"1","Ancient Potion","Potion","Poção Antiga","",""
"1","Attack Potion","Potion","Poção do Ataque","",""
"2","Block Potion","Potion","Poção da Proteção","",""
"1","Blood Potion","Potion","Poção do Sangue","",""
"1","Cunning Potion","Potion","Poção da Astúcia","",""
"1","Distilled Chaos","Potion","Caos Destilado","",""
"2","Energy Potion","Potion","Poção da Energia","",""
"1","Entropic Brew","Potion","Poção Entrópica","",""
"2","Explosive Potion","Potion","Poção Explosiva","",""
"1","Fairy in a Bottle","Potion","Fada na Garrafa","",""
"2","Fire Potion","Potion","Poção do Fogo","",""
"2","Flex Potion","Potion","Poção da Flexão","",""
"1","Gambler's Brew","Potion","Postão do Apostador","",""
"1","Ghost in a Jar","Potion","Fantasma no Jarro","",""
"1","Liquid Memories","Potion","Memórias Líquidas","",""
"1","Purity Potion","Potion","Poção da Pureza","",""
"1","Skill Potion","Potion","Poção da Técnica","",""
"1","Snecko Oil","Potion","Óleo de Cortixa","",""
"2","Swift Potion","Potion","Poção da Velocidade","",""
"2","Vulnerable Potion","Potion","Poção da Vulnerabilidade","",""
"2","Weak Potion","Potion","Poção de Fraqueza","",""
"1","Loaded Die","Special Item","Dado Carregado","Dado Viciado (traduziram ao pé da letra...)","They went full ""to the letter"" here. The correct term is ""Dado Viciado""."
"4","Prismatic Shard","Special Item","Estilhaço de Prisma","",""
