"Red Reward","Option 1","Option 2","Option 3","Text","Tradução texto","Unlocks"
"3 gold 1 card","Upgrade 1 card","Remove 1 card","Gain 10 gold, lose 2 HP","I've brought you back ...","Eu te trouxe de volta...",""
"","Upgrade 1 card","1 random rare card","10 gold, 1 curse","Another ... try ...?","Outra... tentativa...?",""
"","Upgrade 1 card","5 gold","1 relic, 1 curse","Choose...","Escolha...",""
"","Upgrade 1 card","3 potions","1 rare card, 1 curse","Greetings...","Saudações...",""
"","3 potions","1 card","relic, lose 3 gold","Greetings...","Saudações...",""
"","Remove 1 card","Transform 1 card","1 relic, lose 2 HP","Risk... Reward ...","Risco... Recompensa...",""
"","5 gold","1 random rare card","1 rare card, lose 3 gold","Another ... try ...?","Outra... tentativa...?",""
"","Upgrade 1 card","3 potions","upgrade 2 random cards, lose 2 hp","Choose...","Escolha...",""
"","transform 1 card","5 gold","remove 2 cards, lose 3 hp","Another ... try ...?","Outra... tentativa...?",""
"","1 random rare card","1 card","remove 2 cards, lose 2 hp","I've brought you back ...","Eu te trouxe de volta...",""
"","1 random rare card","Transform 1 card","upgrade 2 random cards, 1 curse","Choose...","Escolha...",""
"","Remove 1 card","5 gold","upgrade 2 random cards, lose 3 gold","Another ... try ...?","Outra... tentativa...?",""
"","Remove 1 card","Transform 1 card","transform 2 cards, lose 3 hp","Another ... try ...?","Outra... tentativa...?",""
"","Remove 1 card","3 potions","5 gold, 1 card, 1 curse","Risk... Reward ...","Risco... Recompensa...",""
"","1 colorless card","Transform 1 card","10 gold, lose 2 hp","Hello... Again...","Olá... De novo ...","c"
"","1 colorless card","Remove 1 card","1 rare card, lose 2 HP","Choose...","Escolha...","c"
"","1 colorless card","1 random rare card","1 relic, lose 3 gold","I've brought you back ...","Eu te trouxe de volta...","c"
"","1 colorless card","upgrade 1 card","remove 2 cards, lose 3 gold","Hello... Again...","Olá... De novo ...","c"
"","1 colorless card","3 potions","transform 2 cards, 1 curse","Another ... try ...?","Outra... tentativa...?","c"
"","transform 1 card","5 gold","2 colorless cards, 1 curse","Risk... Reward ...","Risco... Recompensa...","c"
