"Deck","Name","Cost","Rarity","Copies","Type","Starter","Unblock","Nome pt-BR","Minha Tradução","My Translation"
"Colorless","Apotheosis","2","Rare","1","Power","","","Apoteose","",""
"Colorless","Hand of Greed","2","Rare","1","Attack","","","Mão da Ganância","",""
"Colorless","Master of Strategy","0","Rare","1","Skill","","","Mestre da Estratégia","",""
"Colorless","Mayhem","2","Rare","1","Power","","","Desordem","",""
"Colorless","The Bomb","2","Rare","1","Power","","","A Bomba","",""
"Colorless","Apparition","1","Uncommon","1","Skill","","","Aparição","",""
"Colorless","Blind","0","Uncommon","1","Skill","","","Cegar","",""
"Colorless","Dark Shackles","0","Uncommon","1","Skill","","","Grilhões Sombrios","",""
"Colorless","Dramatic Entrance","0","Uncommon","1","Attack","","","Entrada Dramática","",""
"Colorless","Finesse","0","Uncommon","1","Skill","","","Sutileza","",""
"Colorless","Flash of Steel","0","Uncommon","1","Attack","","","Lampejo de Aço","",""
"Colorless","Good Instincts","0","Uncommon","1","Skill","","","Bons Instintos","",""
"Colorless","Impatience","0","Uncommon","1","Skill","","","Impaciência","",""
"Colorless","Madness","0","Uncommon","1","Skill","","","Loucura","",""
"Colorless","Mind Blast","2","Uncommon","1","Attack","","","Explosão Mental","",""
"Colorless","Panacea","0","Uncommon","1","Skill","","","Panaceia","",""
"Colorless","Panache","0","Uncommon","1","Power","","","Desenvoltura","",""
"Colorless","Purity","0","Uncommon","1","Skill","","","Pureza","",""
"Colorless","Sadistic Nature","1","Uncommon","1","Power","","","Natureza Sádica","",""
"Colorless","Swift Strike","0","Uncommon","1","Attack","","","Golpe Veloz","",""
"Colorless","Thinking Ahead","0","Uncommon","1","Skill","","","Pensando à Frente","",""
"Colorless","Trip","2","Uncommon","1","Skill","","","Tropeço","",""
"Curse","Clumsy","","Common","2","Curse","","","Desajeitado","",""
"Curse","Decay","","Common","1","Curse","","","Apodrecer","",""
"Curse","Doubt","","Common","1","Curse","","","Dúvida","",""
"Curse","Injury","","Common","2","Curse","","","Ferimento","",""
"Curse","Pain","","Common","1","Curse","","","Dor","",""
"Curse","Parasite","","Common","2","Curse","","","Parasita","",""
"Curse","Regret","","Common","2","Curse","","","Arrependimento","",""
"Curse","Shame","","Common","1","Curse","","","Vergonha","",""
"Curse","Writhe","1","Common","1","Curse","","","Torção","",""
"Curse","Ascender's Bane","","Common","4","Curse","TRUE","","","",""
"Status","Burn","","","","Status","","","","",""
"Status","Daze","","","10","Status","","","Atordoamento","",""
"Status","Slime","1","","","Status","","","","",""
"Defect","Golden Ticket (Defect)","","","1","Ticket","","","Bilhete Dourado","",""
"Defect","Golden Ticket 2 (Defect)","","","1","Ticket","","2","Bilhete Dourado","",""
"Defect","Ball Lightning","1","Common","2","Attack","","","Bola de Relâmpago","",""
"Defect","Barrage","1","Common","2","Attack","","","Barragem","",""
"Defect","Chaos","1","Common","2","Skill","","","Caos","",""
"Defect","Charge Battery","1","Common","2","Skill","","","Conservar Bateria","Carregar Bateria. Tradução mais direta e ainda faz mais sentido com a carta.","""Carregar Bateria"" would be WAY better. Makes more sense with the card's mechanic. ""Conservar Bateria"" would be something like ""Saving Battery""/""Conserver Battery"""
"Defect","Claw (Retail)","0","Common","2","Attack","","","Garra","",""
"Defect","Claw (Collectors Ed. Pack)","0","Common","8","Attack","","","Garra (Pacote do KS)","",""
"Defect","Cold Snap","2","Common","2","Attack","","","Onda Gelada","",""
"Defect","Compile Driver","1","Common","2","Attack","","","Drive de Compilação","",""
"Defect","Coolheaded","1","Common","2","Skill","","","Cabeça Fria","",""
"Defect","Go for the Eyes","0","Common","2","Attack","","","Parta para os Olhos","",""
"Defect","Leap","1","Common","2","Skill","","","Salto","",""
